x,y,ux,uy,load_step
0.61067796,0.26955038,0.0,0.0,1
0.60662526,0.27865803,0.0,0.0,1
0.5951776,0.29494858,0.0,0.0,1
0.5727965,0.31472373,0.0,0.0,1
0.55589753,0.32531822,0.0,0.0,1
0.528875,0.33814842,0.0,0.0,1
0.50061697,0.34798566,0.0,0.0,1
0.49101412,0.35069326,0.0,0.0,1
0.47160888,0.35533613,0.0,0.0,1
0.4618253,0.35729292,0.0,0.0,1
0.44213456,0.36051974,0.0,0.0,1
0.42232025,0.36287332,0.0,0.0,1
0.4123801,0.3637347,0.0,0.0,1
0.39245713,0.3648428,0.0,0.0,1
0.3725056,0.36514375,0.0,0.0,1
0.36252934,0.36499333,0.0,0.0,1
0.3425961,0.3640881,0.0,0.0,1
0.322717,0.36236453,0.0,0.0,1
0.30292937,0.35979667,0.0,0.0,1
0.2930832,0.3581841,0.0,0.0,1
0.27351797,0.3542684,0.0,0.0,1
0.26381418,0.35194832,0.0,0.0,1
0.24461149,0.3465297,0.0,0.0,1
0.21651779,0.33623517,0.0,0.0,1
0.19848922,0.3276938,0.0,0.0,1
0.17317884,0.31177616,0.0,0.0,1
0.15820682,0.29861316,0.0,0.0,1
0.14586757,0.28297833,0.0,0.0,1
0.13783112,0.26479104,0.0,0.0,1
0.13607395,0.24501792,0.0,0.0,1
0.14118136,0.22582154,0.0,0.0,1
0.15162073,0.20887658,0.0,0.0,1
0.17317884,0.18822384,0.0,0.0,1
0.18977389,0.17716174,0.0,0.0,1
0.20741601,0.16785102,0.0,0.0,1
0.22576569,0.1600208,0.0,0.0,1
0.24461149,0.1534703,0.0,0.0,1
0.26381418,0.1480517,0.0,0.0,1
0.283277,0.14365606,0.0,0.0,1
0.30292937,0.14020333,0.0,0.0,1
0.3326476,0.1366701,0.0,0.0,1
0.35255814,0.13535812,0.0,0.0,1
0.3725056,0.13485627,0.0,0.0,1
0.40242428,0.13560963,0.0,0.0,1
0.42232025,0.13712668,0.0,0.0,1
0.44213456,0.13948026,0.0,0.0,1
0.4618253,0.14270708,0.0,0.0,1
0.49101412,0.14930674,0.0,0.0,1
0.510138,0.15499678,0.0,0.0,1
0.528875,0.16185157,0.0,0.0,1
0.54707134,0.17003065,0.0,0.0,1
0.55589753,0.1746818,0.0,0.0,1
0.5727965,0.18527626,0.0,0.0,1
0.5951776,0.2050514,0.0,0.0,1
0.61067796,0.2304496,0.0,0.0,1
0.61415,0.25,0.0,0.0,1
0.7304496,0.86067796,0.0,0.0,1
0.72134197,0.85662526,0.0,0.0,1
0.7050514,0.8451776,0.0,0.0,1
0.68527627,0.8227965,0.0,0.0,1
0.6746818,0.80589753,0.0,0.0,1
0.6618516,0.778875,0.0,0.0,1
0.6520144,0.75061697,0.0,0.0,1
0.6493067,0.7410141,0.0,0.0,1
0.6446639,0.7216089,0.0,0.0,1
0.6427071,0.7118253,0.0,0.0,1
0.6394803,0.69213456,0.0,0.0,1
0.6371267,0.67232025,0.0,0.0,1
0.63626534,0.6623801,0.0,0.0,1
0.6351572,0.6424571,0.0,0.0,1
0.6348563,0.6225056,0.0,0.0,1
0.63500667,0.61252934,0.0,0.0,1
0.63591194,0.5925961,0.0,0.0,1
0.63763547,0.572717,0.0,0.0,1
0.64020336,0.55292934,0.0,0.0,1
0.6418159,0.5430832,0.0,0.0,1
0.64573157,0.52351797,0.0,0.0,1
0.6480517,0.51381415,0.0,0.0,1
0.6534703,0.4946115,0.0,0.0,1
0.66376483,0.46651778,0.0,0.0,1
0.67230624,0.44848922,0.0,0.0,1
0.68822384,0.42317882,0.0,0.0,1
0.7013868,0.40820682,0.0,0.0,1
0.71702164,0.3958676,0.0,0.0,1
0.735209,0.38783112,0.0,0.0,1
0.75498205,0.38607395,0.0,0.0,1
0.77417845,0.39118135,0.0,0.0,1
0.7911234,0.40162075,0.0,0.0,1
0.81177616,0.42317882,0.0,0.0,1
0.82283825,0.4397739,0.0,0.0,1
0.83214897,0.457416,0.0,0.0,1
0.8399792,0.47576568,0.0,0.0,1
0.8465297,0.4946115,0.0,0.0,1
0.8519483,0.51381415,0.0,0.0,1
0.8563439,0.53327703,0.0,0.0,1
0.85979664,0.55292934,0.0,0.0,1
0.8633299,0.58264756,0.0,0.0,1
0.8646419,0.60255814,0.0,0.0,1
0.8651437,0.6225056,0.0,0.0,1
0.8643904,0.6524243,0.0,0.0,1
0.8628733,0.67232025,0.0,0.0,1
0.8605197,0.69213456,0.0,0.0,1
0.8572929,0.7118253,0.0,0.0,1
0.8506933,0.7410141,0.0,0.0,1
0.8450032,0.760138,0.0,0.0,1
0.8381484,0.778875,0.0,0.0,1
0.82996935,0.79707134,0.0,0.0,1
0.8253182,0.80589753,0.0,0.0,1
0.81472373,0.8227965,0.0,0.0,1
0.7949486,0.8451776,0.0,0.0,1
