x,y,C10,C01,C20,invD,ux,uy,group_id
0.0,0.0,0.6,1.1,0.8,1.6,9.313e-42,2.085e-42,0
0.0,0.01,0.6,1.1,0.8,1.6,0.0068795695,0.012753009,0
0.0,0.02,0.6,1.1,0.8,1.6,0.0114085805,0.025540205,0
0.0,0.03,0.6,1.1,0.8,1.6,0.015124775,0.03813452,0
0.0,0.04,0.6,1.1,0.8,1.6,0.018367302,0.050596785,0
0.0,0.05,0.6,1.1,0.8,1.6,0.021414895,0.06298143,0
0.0,0.06,0.6,1.1,0.8,1.6,0.024375368,0.075336814,0
0.0,0.07,0.6,1.1,0.8,1.6,0.027341992,0.08767024,0
0.0,0.08,0.6,1.1,0.8,1.6,0.030358836,0.09998727,0
0.0,0.09,0.6,1.1,0.8,1.6,0.033442397,0.11229374,0
0.0,0.1,0.6,1.1,0.8,1.6,0.0365936,0.12459468,0
0.0,0.11,0.6,1.1,0.8,1.6,0.03980112,0.13689718,0
0.0,0.12,0.6,1.1,0.8,1.6,0.043045454,0.1492121,0
0.0,0.13,0.6,1.1,0.8,1.6,0.046297397,0.16154389,0
0.0,0.14,0.6,1.1,0.8,1.6,0.04952811,0.17391177,0
0.0,0.15,0.6,1.1,0.8,1.6,0.052712,0.1863517,0
0.0,0.16,0.6,1.1,0.8,1.6,0.055811185,0.19880821,0
0.0,0.17,0.6,1.1,0.8,1.6,0.05879284,0.21130839,0
0.0,0.18,0.6,1.1,0.8,1.6,0.061629653,0.2238696,0
0.0,0.19,0.6,1.1,0.8,1.6,0.064303435,0.2364962,0
0.0,0.2,0.6,1.1,0.8,1.6,0.06679301,0.24914604,0
0.0,0.21,0.6,1.1,0.8,1.6,0.069076955,0.2618146,0
0.0,0.22,0.6,1.1,0.8,1.6,0.07113665,0.27450636,0
0.0,0.23,0.6,1.1,0.8,1.6,0.07297122,0.2872429,0
0.0,0.24,0.6,1.1,0.8,1.6,0.07456475,0.29998156,0
0.0,0.25,0.6,1.1,0.8,1.6,0.075910375,0.3127106,0
0.0,0.26,0.6,1.1,0.8,1.6,0.077001475,0.3253949,0
0.0,0.27,0.6,1.1,0.8,1.6,0.07783633,0.3380433,0
0.0,0.28,0.6,1.1,0.8,1.6,0.078402236,0.35060346,0
0.0,0.29,0.6,1.1,0.8,1.6,0.07872021,0.36313012,0
0.0,0.3,0.6,1.1,0.8,1.6,0.07878491,0.37546453,0
0.0,0.31,0.6,1.1,0.8,1.6,0.07861253,0.3876632,0
0.0,0.32,0.6,1.1,0.8,1.6,0.0782089,0.3997618,0
0.0,0.33,0.6,1.1,0.8,1.6,0.077587575,0.41173837,0
0.0,0.34,0.6,1.1,0.8,1.6,0.07677186,0.4235873,0
0.0,0.35,0.6,1.1,0.8,1.6,0.07577885,0.4352935,0
0.0,0.36,0.6,1.1,0.8,1.6,0.074627936,0.44685546,0
0.0,0.37,0.6,1.1,0.8,1.6,0.07334116,0.4582776,0
0.0,0.38,0.6,1.1,0.8,1.6,0.071942955,0.46956146,0
0.0,0.39,0.6,1.1,0.8,1.6,0.07046212,0.48071417,0
0.0,0.4,0.6,1.1,0.8,1.6,0.06892735,0.49166438,0
0.0,0.41,0.6,1.1,0.8,1.6,0.06735824,0.502505,0
0.0,0.42,0.6,1.1,0.8,1.6,0.06578282,0.5132383,0
0.0,0.43,0.6,1.1,0.8,1.6,0.064237684,0.52386916,0
0.0,0.44,0.6,1.1,0.8,1.6,0.06275323,0.53439456,0
0.0,0.45,0.6,1.1,0.8,1.6,0.06135304,0.5448002,0
0.0,0.46,0.6,1.1,0.8,1.6,0.06005255,0.55506164,0
0.0,0.47,0.6,1.1,0.8,1.6,0.05886349,0.56520516,0
0.0,0.48,0.6,1.1,0.8,1.6,0.057800855,0.5752123,0
0.0,0.49,0.6,1.1,0.8,1.6,0.056870863,0.58516014,0
0.0,0.5,0.6,1.1,0.8,1.6,0.056072917,0.59502184,0
0.0,0.51,0.6,1.1,0.8,1.6,0.055407144,0.6047622,0
0.0,0.52,0.6,1.1,0.8,1.6,0.054861873,0.61436146,0
0.0,0.53,0.6,1.1,0.8,1.6,0.054426827,0.6238253,0
0.0,0.54,0.6,1.1,0.8,1.6,0.05408336,0.6331486,0
0.0,0.55,0.6,1.1,0.8,1.6,0.053818364,0.64230615,0
0.0,0.56,0.6,1.1,0.8,1.6,0.05361194,0.65136325,0
0.0,0.57,0.6,1.1,0.8,1.6,0.053447925,0.66031736,0
0.0,0.58,0.6,1.1,0.8,1.6,0.05331673,0.6691645,0
0.0,0.59,0.6,1.1,0.8,1.6,0.053204708,0.67790145,0
0.0,0.6,0.6,1.1,0.8,1.6,0.05310085,0.6865317,0
0.0,0.61,0.6,1.1,0.8,1.6,0.052994713,0.6950607,0
0.0,0.62,0.6,1.1,0.8,1.6,0.05287681,0.70349497,0
0.0,0.63,0.6,1.1,0.8,1.6,0.052739695,0.71184134,0
0.0,0.64,0.6,1.1,0.8,1.6,0.052576814,0.72010577,0
0.0,0.65,0.6,1.1,0.8,1.6,0.052385565,0.728281,0
0.0,0.66,0.6,1.1,0.8,1.6,0.052160237,0.7363924,0
0.0,0.67,0.6,1.1,0.8,1.6,0.05189606,0.7444416,0
0.0,0.68,0.6,1.1,0.8,1.6,0.051593486,0.7524336,0
0.0,0.69,0.6,1.1,0.8,1.6,0.051250264,0.7603741,0
0.0,0.7,0.6,1.1,0.8,1.6,0.05086429,0.7682657,0
0.0,0.71,0.6,1.1,0.8,1.6,0.0504346,0.77610743,0
0.0,0.72,0.6,1.1,0.8,1.6,0.04996115,0.7839062,0
0.0,0.73,0.6,1.1,0.8,1.6,0.0494431,0.79165715,0
0.0,0.74,0.6,1.1,0.8,1.6,0.048878983,0.79937375,0
0.0,0.75,0.6,1.1,0.8,1.6,0.04826621,0.80705905,0
0.0,0.76,0.6,1.1,0.8,1.6,0.04760559,0.814716,0
0.0,0.77,0.6,1.1,0.8,1.6,0.046896555,0.8223493,0
0.0,0.78,0.6,1.1,0.8,1.6,0.046136748,0.8299607,0
0.0,0.79,0.6,1.1,0.8,1.6,0.04532666,0.83755547,0
0.0,0.8,0.6,1.1,0.8,1.6,0.044463683,0.8451271,0
0.0,0.81,0.6,1.1,0.8,1.6,0.043546017,0.85267794,0
0.0,0.82,0.6,1.1,0.8,1.6,0.04256859,0.8602114,0
0.0,0.83,0.6,1.1,0.8,1.6,0.041527588,0.8677311,0
0.0,0.84,0.6,1.1,0.8,1.6,0.04041888,0.8752407,0
0.0,0.85,0.6,1.1,0.8,1.6,0.039236978,0.88274336,0
0.0,0.86,0.6,1.1,0.8,1.6,0.03797555,0.8902421,0
0.0,0.87,0.6,1.1,0.8,1.6,0.03662612,0.8977406,0
0.0,0.88,0.6,1.1,0.8,1.6,0.0351817,0.90524375,0
0.0,0.89,0.6,1.1,0.8,1.6,0.03362833,0.91274774,0
0.0,0.9,0.6,1.1,0.8,1.6,0.031954244,0.9202508,0
0.0,0.91,0.6,1.1,0.8,1.6,0.030142039,0.92778885,0
0.0,0.92,0.6,1.1,0.8,1.6,0.028174412,0.9353505,0
0.0,0.93,0.6,1.1,0.8,1.6,0.026024576,0.9429481,0
0.0,0.94,0.6,1.1,0.8,1.6,0.023661967,0.95059836,0
0.0,0.95,0.6,1.1,0.8,1.6,0.021036223,0.9583292,0
0.0,0.96,0.6,1.1,0.8,1.6,0.018085955,0.96616614,0
0.0,0.97,0.6,1.1,0.8,1.6,0.014740511,0.97418475,0
0.0,0.98,0.6,1.1,0.8,1.6,0.010845578,0.9824467,0
0.0,0.99,0.6,1.1,0.8,1.6,0.006225389,0.99106526,0
0.0,1.0,0.6,1.1,0.8,1.6,3.67e-42,1.0,0
0.008785335,0.5005297,0.6,1.1,0.8,1.6,0.05511563,0.5959291,0
0.0089376215,0.9391014,0.6,1.1,0.8,1.6,0.02296006,0.95093054,0
0.009046475,0.92938733,0.6,1.1,0.8,1.6,0.025237812,0.9434481,0
0.009180539,0.94895256,0.6,1.1,0.8,1.6,0.020371117,0.9586284,0
0.009258038,0.8408671,0.6,1.1,0.8,1.6,0.03941932,0.8764471,0
0.009273079,0.33078927,0.6,1.1,0.8,1.6,0.07655224,0.4130362,0
0.009319602,0.32099012,0.6,1.1,0.8,1.6,0.07717798,0.40122113,0
0.009389014,0.5908783,0.6,1.1,0.8,1.6,0.052253805,0.6788105,0
0.009392304,0.9195359,0.6,1.1,0.8,1.6,0.027320955,0.9359334,0
0.009411355,0.22086406,0.6,1.1,0.8,1.6,0.07029446,0.2749087,0
0.009447097,0.7606041,0.6,1.1,0.8,1.6,0.04665093,0.8155349,0
0.009447667,0.51012844,0.6,1.1,0.8,1.6,0.054415684,0.6052586,0
0.009509709,0.6608964,0.6,1.1,0.8,1.6,0.05120666,0.7372907,0
0.009571214,0.57111317,0.6,1.1,0.8,1.6,0.052464303,0.66148806,0
0.0095994575,0.600712,0.6,1.1,0.8,1.6,0.05213446,0.6872865,0
0.00969553,0.080802925,0.6,1.1,0.8,1.6,0.029505773,0.09982389,0
0.0097480845,0.09067607,0.6,1.1,0.8,1.6,0.032545242,0.1119347,0
0.009841331,0.0708785,0.6,1.1,0.8,1.6,0.026496353,0.08762307,0
0.009843497,0.25027052,0.6,1.1,0.8,1.6,0.07490958,0.31265587,0
0.009850219,0.6806398,0.6,1.1,0.8,1.6,0.050611876,0.7531569,0
0.009864059,0.43094912,0.6,1.1,0.8,1.6,0.06303068,0.52559894,0
0.009899262,0.95905703,0.6,1.1,0.8,1.6,0.017349342,0.96665025,0
0.0098995,0.100564055,0.6,1.1,0.8,1.6,0.035644483,0.12405358,0
0.009916368,0.61055917,0.6,1.1,0.8,1.6,0.05200153,0.6956828,0
0.009947072,0.19123092,0.6,1.1,0.8,1.6,0.06352536,0.23704828,0
0.009988262,0.9693634,0.6,1.1,0.8,1.6,0.013944554,0.97488385,0
0.01,0.0,0.6,1.1,0.8,1.6,6.22143e-40,2.8096124e-38,0
0.01,1.0,0.6,1.1,0.8,1.6,1.449133e-39,1.0,0
0.010021341,0.81122184,0.6,1.1,0.8,1.6,0.04246105,0.85410047,0
0.010114526,0.9897365,0.6,1.1,0.8,1.6,0.005550374,0.99152356,0
0.010167872,0.73124015,0.6,1.1,0.8,1.6,0.048392475,0.79292953,0
0.010214721,0.56110793,0.6,1.1,0.8,1.6,0.05255437,0.6525822,0
0.010237813,0.060905885,0.6,1.1,0.8,1.6,0.023496129,0.075326346,0
0.010277658,0.16151953,0.6,1.1,0.8,1.6,0.055118922,0.1994803,0
0.010427397,0.440968,0.6,1.1,0.8,1.6,0.061491337,0.53615606,0
0.010429754,0.4009212,0.6,1.1,0.8,1.6,0.06766046,0.49345562,0
0.010504053,0.69061124,0.6,1.1,0.8,1.6,0.050205227,0.76110667,0
0.0105613945,0.02013501,0.6,1.1,0.8,1.6,0.0104295425,0.024931163,0
0.010569456,0.27008018,0.6,1.1,0.8,1.6,0.07674337,0.33795077,0
0.0106974095,0.30088556,0.6,1.1,0.8,1.6,0.077665515,0.37665564,0
0.010862013,0.15125927,0.6,1.1,0.8,1.6,0.051879596,0.18658234,0
0.010897491,0.47152933,0.6,1.1,0.8,1.6,0.057532445,0.5674288,0
0.010898601,0.050802775,0.6,1.1,0.8,1.6,0.020447662,0.06282839,0
0.010970334,0.7806453,0.6,1.1,0.8,1.6,0.045026623,0.8309202,0
0.011061025,0.030371837,0.6,1.1,0.8,1.6,0.014077693,0.03760529,0
0.011202725,0.1307108,0.6,1.1,0.8,1.6,0.045251843,0.16099928,0
0.0112030925,0.46127594,0.6,1.1,0.8,1.6,0.058696188,0.55710566,0
0.011215278,0.39082664,0.6,1.1,0.8,1.6,0.06912857,0.48246574,0
0.011394759,0.53019035,0.6,1.1,0.8,1.6,0.05324173,0.62436527,0
0.011498548,0.71100646,0.6,1.1,0.8,1.6,0.049274232,0.7772095,0
0.01151589,0.040688388,0.6,1.1,0.8,1.6,0.017325923,0.05031188,0
0.011593244,0.29070383,0.6,1.1,0.8,1.6,0.077528745,0.36402223,0
0.012060309,0.5406559,0.6,1.1,0.8,1.6,0.052825414,0.634105,0
0.017164636,0.88997936,0.6,1.1,0.8,1.6,0.03194157,0.9140933,0
